Sample	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23
Sample_54	45.37325044011104	20.279882745166372	19.467522559036706	14.254754438230211	43.45766522444399	14.826663517422443	0.0	6.390544086933069	15.118025341808877	11.548768382556817	0.0	0.0	6.394781061418707	22.72433443774707	0.0	19.211042308687656	0.0	0.0	5.708701217327313	0.0	23.167583830088326	5.5155551864484735	0.0
Sample_55	48.15824919426843	0.0	0.0	0.0	0.0	2535.610708935137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.58503849062167	0.0	43.95456190228037	0.0	0.0	0.0	0.0	0.0	50.77979369040181	0.0
Sample_56	336.7973524555513	75.73425228324125	0.0	69.00233854808334	0.0	189.5697688614878	0.0	77.2183631769084	93.62960362897822	78.36745991458173	33.168025922145105	0.0	0.0	32.84623793990784	0.0	0.0	0.0	0.0	30.40691036775813	0.0	77.60532356824682	0.0	40.95114610488004
Sample_57	56.98118773368895	57.26737571033874	17.061104503638628	62.17179242353227	0.0	73.17053431712668	10.634059676361407	50.77284819197704	132.60870054059762	25.70646931865303	17.93951571680045	0.0	22.879207368053063	20.37582663723168	0.0	0.0	0.0	0.0	33.22159112797238	0.0	0.0	0.0	0.0
Sample_58	51.773793947000414	60.76784421331105	10.852891494495038	35.84889595437137	0.0	19.439928385412983	0.0	22.66358691970579	40.845545362235946	9.415708656937401	18.475918464540797	0.0	6.990633181128255	17.590674590999665	0.0	0.0	16.401352175385146	0.0	15.092049462312897	0.0	35.19584797476184	0.0	40.56334384801934
Sample_59	0.0	11.463685913353265	0.0	0.0	0.0	10.980212012506847	4.7316958885683755	0.0	0.0	4.636416830356309	6.260721449454692	0.0	0.0	22.865526171892313	0.0	0.0	0.0	6.653865915345845	10.31583485830007	0.0	0.0	7.026480112946685	34.14343251987763
Sample_60	41.659877075937956	15.038324287345182	68.85933558704403	71.24755433247591	90.18247407823104	23.809218830660253	0.0	64.49111858228648	0.0	19.243293366817486	0.0	0.0	11.848813568652737	12.344986078410765	0.0	0.0	19.975553982849796	0.0	15.143046563622446	0.0	0.0	0.0	0.0
Sample_61	169.9471066962552	24.05276365580048	25.44489108447711	77.0349848036272	0.0	26.354823081312183	12.718990085833868	65.51945490517686	40.999936103692775	42.42371455847159	31.49897862193666	0.0	12.570647533302639	36.45789742677989	0.0	0.0	0.0	0.0	22.38051317524763	12.075998372103063	35.89133166172718	0.0	0.0
Sample_62	0.0	12.742743967785106	0.0	20.17029465133946	84.46364690423049	349.73913670141957	0.0	170.25116038399497	0.0	0.0	0.0	0.0	0.0	27.530703280559344	0.0	0.0	0.0	0.0	32.01398134103592	0.0	0.0	0.0	35.48247133233402
Sample_63	12.523403316294944	21.522339915309825	13.315223029190113	29.77135851404335	0.0	251.95782800819467	0.0	135.2763543455348	66.09624149394865	0.0	11.486283605643491	0.0	8.115660283332325	13.208769160421378	0.0	0.0	9.079293318053388	0.0	10.529329478674136	0.0	0.0	0.0	0.0
