gene_name	lfc	n_mutations	mtor_path
KEAP1	0.58007	0	0
UFD1L	0.5798	0	0
PMPCB	0.57885	0	0
FANCD2	0.57885	0	0
NRBP1	0.57815	0	0
POLE2	0.5769	0	0
COX5A	0.57635	0	0
CLPB	0.57627	0	0
EIF1AD	0.57323	0	0
NUBP1	0.57318	0	0
VPS51	0.57271	0	0
MRPL45	0.57219	0	0
SF3B3	0.57207	0	0
TRAPPC5	0.57135	0	0
HELZ	0.57096	0	0
PFDN6	0.5694	0	0
DDX24	0.56843	0	0
CWC25	0.56815	0	0
KIAA0947	0.56609	0	0
FAM32A	0.56545	0	0
PDPK1	0.56533	0	0
CENPN	0.56524	0	0
DHPS	0.56359	0	0
SASH3	0.56312	0	0
KAT5	0.56125	0	0
POLE3	0.56018	0	0
WBSCR16	0.55953	0	0
NMD3	0.55484	0	0
VPS25	0.55345	0	0
SRSF7	0.54892	0	0
TSEN2	0.54851	0	0
EEF1G	0.546	0	0
RPL18	0.54484	0	0
SLC4A7	0.54181	0	0
GTF3C2	0.53866	0	0
NARFL	0.53839	0	0
TAF1D	0.53727	0	0
ZCCHC9	0.53633	0	0
DHX16	0.53375	0	0
DIS3	0.53351	0	0
PCYT1A	0.53156	0	0
EIF3K	0.53042	0	0
C14orf166	0.52761	0	0
KDM2A	0.52724	0	0
C19orf43	0.52543	0	0
PPA2	0.52443	0	0
LSM5	0.52392	0	0
RAB6A	0.52391	0	0
VPS54	0.52375	0	0
PSMD11	0.52278	0	0
GABPB1	0.52134	0	0
TCEB1	0.51869	0	0
CNOT10	0.51603	0	0
TSFM	0.51074	0	0
YAE1D1	0.51057	0	0
RPAP2	0.51015	0	0
AKT1	0.50452	0	1
C7orf26	0.50324	0	0
C16orf59	0.5029	0	0
PSMD6	0.49992	0	0
TAF10	0.49968	0	0
SRBD1	0.49894	0	0
CDK2	0.49852	0	0
COPS2	0.49582	0	0
EMC4	0.49475	0	0
MBNL1	0.49445	0	0
POLD3	0.49427	0	0
ATIC	0.49256	0	0
SPTAN1	0.49188	0	0
SCAP	0.48912	0	0
NKAP	0.48909	0	0
IWS1	0.4881	0	0
TAF12	0.48672	0	0
CENPW	0.48498	0	0
UBR4	0.48013	0	0
VMA21	0.47837	0	0
FIP1L1	0.47591	0	0
POLA1	0.47305	0	0
ATF7IP	0.4701	0	0
ZC3HC1	0.46664	0	0
PSMD7	0.4644	0	0
UQCRC2	0.46181	0	0
CCDC84	0.46072	0	0
MRE11A	0.46046	0	0
CBLL1	0.45996	0	0
NDUFC2	0.45975	0	0
SBDS	0.45831	0	0
MCM3AP	0.45703	0	0
ACTR2	0.45332	0	0
PQBP1	0.45113	0	0
RAD21	0.44804	0	0
EXOSC10	0.44261	0	0
BCAS2	0.44145	0	0
USO1	0.44126	0	0
NUP155	0.44045	0	0
TSPAN14	0.43964	0	0
HUS1	0.43915	0	0
NDUFS2	0.43798	0	0
RNF20	0.43412	0	0
POLR1A	0.42713	0	0
IPO9	0.42437	0	0
DIAPH1	0.41395	3	0
STIP1	0.41207	0	0
USPL1	0.40825	0	0
TPR	0.40803	0	0
MAML1	0.40516	0	0
PRC1	0.40504	0	0
MRPL42	0.40439	0	0
SMARCD1	0.39796	0	0
HIST1H1A	0.39612	0	0
PLK4	0.38982	0	0
VPS53	0.38901	0	0
TBK1	0.38898	0	0
TLK2	0.3888	0	0
GCLM	0.38654	0	0
HSP90B1	0.37848	0	0
MIS18A	0.37501	0	0
GPATCH1	0.35071	0	0
INTS2	0.34976	0	0
ZNF592	0.34779	0	0
RERE	0.33736	0	0
MFAP1	0.33731	0	0
MORF4L1	0.3331	0	0
UBA1	0.32549	0	0
TSNAX	0.32465	0	0
VEGFC	0.32128	0	0
PNKP	0.31614	0	0
TBC1D15	0.31543	0	0
ABCF1	0.30822	0	0
RNF8	0.27567	0	0
CCT7	0.26892	0	0
NLRC5	0.24046	0	0
RPL22	0.21713	0	0
EIF5A	0.19678	0	0
DISP1	-0.048363	0	0
SLC12A9	-0.20431	0	0
TSC1	-0.45219	0	1
MATN2	-0.46615	0	0
MARK3	-0.47006	0	0
PIK3R1	-0.47914	2	0
HIF1A	-0.52986	0	0
NPRL2	-0.56736	0	0
OTUD5	-0.5996	0	0
LMO2	-0.62597	0	0
SESN2	-0.72458	0	0
EIF2AK4	-1.0082	0	0
ASNS	-2.1632	0	0
