Sample	Gene	Impact	CNV
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	TRANK1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	YES1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ZAN	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ZCRB1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ZNF789	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	FIGN	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	GAL3ST2	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	CEP135	HIGH	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	GALNT7	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	SH3TC2	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	STXBP5	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ATP6V1C1	HIGH	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	OPLAH	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	TLE1	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	AUH	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	C10orf71	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	CHST15	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	GIF	MODERATE	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	ASB2	HIGH	
PM1232-Z16-1-Case-WGS--PM1232-Z8-1-Ctrl-WGS	MAGEL2	HIGH	
